| 2014-07-01 |               84 |              74 |              94 |               75 |               93 |              66 |             102 |                1,985 |                1,980 |                 0.00 |                  0.16 |                 1.40 |
| 2014-07-03 |               84 |              73 |              94 |               75 |               93 |              66 |             100 |                1,977 |                1,980 |                 0.00 |                  0.16 |                 1.29 |
| 2014-07-04 |               82 |              72 |              91 |               75 |               93 |              66 |             101 |                1,910 |                2,009 |                 0.48 |                  0.15 |                 3.49 |
| 2014-07-14 |               86 |              76 |              96 |               75 |               94 |              62 |             103 |                1,990 |                1,980 |                 0.00 |                  0.12 |                 2.94 |
| 2014-07-21 |               87 |              77 |              96 |               75 |               94 |              65 |             101 |                1,989 |                2,000 |                 0.00 |                  0.10 |                 1.09 |
| 2014-07-25 |               85 |              74 |              95 |               75 |               94 |              65 |             102 |                1,894 |                1,964 |                 0.00 |                  0.10 |                 3.74 |
| 2014-07-28 |               88 |              77 |              99 |               75 |               95 |              66 |             103 |                1,891 |                1,995 |                 0.00 |                  0.10 |                 2.52 |
| 2014-08-01 |               80 |              73 |              87 |               75 |               95 |              67 |             103 |                1,984 |                1,998 |                 0.01 |                  0.10 |                 2.10 |
| 2014-08-05 |               83 |              74 |              92 |               75 |               95 |              64 |             103 |                1,976 |                1,964 |                 0.00 |                  0.10 |                 2.81 |
| 2014-08-08 |               87 |              77 |              97 |               75 |               95 |              68 |             104 |                1,990 |                1,962 |                 0.10 |                  0.10 |                 1.66 |
| 2014-08-09 |               86 |              77 |              94 |               75 |               95 |              62 |             106 |                1,989 |                1,962 |                 0.00 |                  0.11 |                 1.83 |
| 2014-08-13 |               84 |              73 |              94 |               75 |               95 |              64 |             104 |                2,004 |                1,962 |                 0.00 |                  0.11 |                 1.82 |
| 2014-08-16 |               89 |              80 |              98 |               75 |               95 |              63 |             102 |                2,004 |                1,925 |                 0.00 |                  0.12 |                 3.95 |
| 2014-08-17 |               88 |              78 |              97 |               75 |               95 |              60 |             104 |                1,992 |                1,909 |                 0.00 |                  0.12 |                 3.57 |
| 2014-08-19 |               85 |              76 |              94 |               75 |               95 |              69 |             107 |                2,000 |                1,909 |                 0.00 |                  0.13 |                 1.85 |
| 2014-08-27 |               85 |              75 |              94 |               74 |               94 |              59 |             109 |                1,891 |                2,011 |                 0.00 |                  0.14 |                 8.32 |
| 2014-08-30 |               84 |              75 |              92 |               74 |               93 |              62 |             104 |                1,986 |                2,000 |                 0.00 |                  0.15 |                 2.56 |
| 2014-09-06 |               85 |              75 |              95 |               73 |               92 |              56 |              99 |                1,974 |                1,909 |                 0.16 |                  0.14 |                 2.90 |
| 2014-09-16 |               83 |              75 |              91 |               70 |               90 |              53 |              98 |                1,979 |                1,995 |                 0.12 |                  0.13 |                 1.72 |
| 2014-09-17 |               82 |              75 |              89 |               70 |               89 |              55 |             100 |                2,000 |                1,995 |                 0.25 |                  0.13 |                 1.85 |
| 2014-09-23 |               74 |              64 |              84 |               68 |               88 |              49 |              96 |                1,999 |                1,993 |                 0.00 |                  0.13 |                 2.37 |
| 2014-09-24 |               75 |              64 |              85 |               67 |               88 |              48 |              95 |                1,975 |                2,013 |                 0.00 |                  0.13 |                 2.22 |
| 2014-09-25 |               74 |              68 |              80 |               67 |               87 |              50 |              99 |                1,994 |                2,005 |                 0.00 |                  0.13 |                 3.05 |
| 2014-09-26 |               77 |              68 |              86 |               67 |               87 |              49 |              99 |                2,000 |                2,005 |                 0.00 |                  0.13 |                 2.86 |
| 2014-10-04 |               68 |              59 |              77 |               64 |               85 |              43 |              95 |                1,975 |                2,002 |                 0.00 |                  0.17 |                 3.60 |
| 2014-10-05 |               69 |              53 |              85 |               64 |               85 |              41 |              94 |                1,975 |                2,006 |                 0.00 |                  0.17 |                 2.90 |
| 2014-10-06 |               75 |              65 |              84 |               64 |               85 |              44 |              94 |                1,975 |                1,928 |                 0.69 |                  0.17 |                 4.42 |
| 2014-10-07 |               78 |              65 |              90 |               63 |               84 |              46 |              95 |                1,889 |                1,956 |                 0.00 |                  0.17 |                 5.76 |
| 2014-10-10 |               83 |              75 |              91 |               63 |               84 |              43 |              95 |                1,908 |                1,962 |                 0.03 |                  0.17 |                 3.50 |
| 2014-10-16 |               72 |              57 |              87 |               61 |               82 |              41 |              92 |                1,893 |                1,989 |                 0.00 |                  0.21 |                 5.17 |
| 2014-10-21 |               69 |              55 |              82 |               60 |               81 |              33 |              93 |                1,976 |                2,004 |                 0.00 |                  0.21 |                 2.40 |
| 2014-10-23 |               69 |              58 |              80 |               59 |               80 |              40 |              91 |                1,996 |                1,988 |                 0.00 |                  0.20 |                 3.79 |
| 2014-10-26 |               71 |              56 |              85 |               58 |               79 |              39 |              92 |                1,892 |                2,010 |                 0.00 |                  0.20 |                 2.43 |
| 2014-10-28 |               73 |              60 |              86 |               58 |               79 |              36 |              90 |                1,898 |                1,991 |                 0.00 |                  0.18 |                 8.04 |
| 2014-10-29 |               73 |              61 |              84 |               57 |               78 |              39 |              90 |                1,910 |                1,991 |                 0.00 |                  0.18 |                 2.45 |
| 2014-11-06 |               62 |              58 |              66 |               55 |               76 |              36 |              88 |                1,993 |                1,963 |                 0.17 |                  0.15 |                 1.67 |
| 2014-11-08 |               63 |              50 |              75 |               55 |               75 |              34 |              89 |                1,991 |                1,989 |                 0.00 |                  0.15 |                 1.47 |
